"","name","city","country","region","members","fullurl","created","past_events","upcoming_events"
"50","R-Ladies New Delhi","Delhi","India","Asia",332,"https://www.meetup.com/rladies-new-delhi/",2019-09-01,9,0
"51","R-Ladies Kathmandu","Kathmandu","Nepal","Asia",80,"https://www.meetup.com/rladies-kathmandu/",2018-10-01,4,0
"52","R-Ladies Lima","Lima","Peru","Latin America",1442,"https://www.meetup.com/rladies-lima/",2018-01-25,12,0
"53","R-Ladies Des Moines","Des Moines","USA","US/Canada",26,"https://www.meetup.com/rladies-des-moines/",2018-09-23,4,0
"54","R-Ladies Boulder","Boulder","USA","US/Canada",168,"https://www.meetup.com/rladies-boulder/",2018-06-11,10,0
"55","R-Ladies Denver","Denver","USA","US/Canada",93,"https://www.meetup.com/rladies-denver/",2019-07-02,4,0
"56","R-Ladies Jakarta","Jakarta","Indonesia","Asia",547,"https://www.meetup.com/rladies-jakarta/",2019-07-06,12,0
"57","R-Ladies Pasadena","Pasadena","USA","US/Canada",95,"https://www.meetup.com/rladies-pasadena/",2018-04-25,5,0
"58","R-Ladies Christchurch","Christchurch","New Zealand","Australia",89,"https://www.meetup.com/rladies-christchurch/",2019-05-04,7,0
"59","R-Ladies Brisbane","Brisbane","Australia","Australia",479,"https://www.meetup.com/rladies-brisbane/",2018-05-10,17,0
"60","R-Ladies Amsterdam","Amsterdam","Netherlands","Europe",938,"https://www.meetup.com/rladies-amsterdam/",2018-02-10,26,1
"61","R-Ladies Baltimore","Baltimore","USA","US/Canada",702,"https://www.meetup.com/rladies-baltimore/",2018-02-26,19,4
"62","R-Ladies Columbus","Columbus","USA","US/Canada",901,"https://www.meetup.com/rladies-columbus/",2016-10-04,43,2
"63","R-Ladies Mumbai","Mumbai","India","Asia",80,"https://www.meetup.com/rladies-mumbai/",2019-11-23,1,1
"64","R-Ladies Addis Ababa","Addis Abeba","Ethiopia","Africa",515,"https://www.meetup.com/rladies-addis-ababa/",2018-03-21,24,1
"65","R-Ladies L'viv","L'viv","Ukraine","Europe",34,"https://www.meetup.com/rladies-lviv/",2019-08-31,4,0
"66","R-Ladies Lancaster","Lancaster","United Kingdom","Europe",130,"https://www.meetup.com/rladies-lancaster/",2018-09-12,8,0
"67","R-Ladies Lavras","Lavras","Brazil","Latin America",45,"https://www.meetup.com/rladies-lavras/",2019-04-16,2,0
"68","R-Ladies Toronto","Toronto","Canada","US/Canada",617,"https://www.meetup.com/rladies-toronto/",2018-09-18,6,0
"69","R-Ladies Gainesville","Gainesville","USA","US/Canada",348,"https://www.meetup.com/rladies-gainesville/",2018-07-04,31,0
"70","R-Ladies Atlanta","Atlanta","USA","US/Canada",272,"https://www.meetup.com/rladies-atlanta/",2017-12-14,6,0
"71","R-Ladies El Paso","El Paso","USA","US/Canada",63,"https://www.meetup.com/rladies-el-paso/",2019-04-19,4,0
"72","R-Ladies Remote","San Francisco","USA","US/Canada",346,"https://www.meetup.com/rladies-remote/",2018-06-19,9,0
"73","R-Ladies Dallas","Dallas","USA","US/Canada",553,"https://www.meetup.com/rladies-dallas/",2018-03-04,27,4
"74","R-Ladies Cotonou","Cotonou","Benin","Africa",35,"https://www.meetup.com/rladies-cotonou/",2018-03-29,2,0
"75","R-Ladies Recife","Recife","Brazil","Latin America",147,"https://www.meetup.com/rladies-recife/",2019-09-02,1,0
"76","R-Ladies Göteborg","Göteborg","Sweden","Europe",156,"https://www.meetup.com/rladies-goteborg/",2019-11-23,5,0
"77","R-Ladies Helsinki","Helsinki","Finland","Europe",381,"https://www.meetup.com/rladies-helsinki/",2018-09-07,14,0
"78","R-Ladies Mendoza","Mendoza","Argentina","Latin America",290,"https://www.meetup.com/rladies-mendoza/",2018-02-26,12,0
"79","R-Ladies Tampa","Tampa","USA","US/Canada",314,"https://www.meetup.com/rladies-tampa/",2018-03-11,33,0
"80","R-Ladies Los Angeles","Los Angeles","USA","US/Canada",621,"https://www.meetup.com/rladies-la/",2016-09-02,32,0
"81","R-Ladies Sydney","Sydney","Australia","Australia",801,"https://www.meetup.com/rladies-sydney/",2018-05-09,39,0
"82","R-Ladies Washington D.C.","Washington","USA","US/Canada",2090,"https://www.meetup.com/rladies-dc/",2016-12-07,96,5
"83","R-Ladies Chicago","Chicago","USA","US/Canada",1259,"https://www.meetup.com/rladies-chicago/",2017-07-05,40,1
"84","R-Ladies Philly","Philadelphia","USA","US/Canada",1372,"https://www.meetup.com/rladies-philly/",2017-10-11,55,3
"85","R-Ladies Resistencia-Corrientes","Corrientes","Argentina","Latin America",143,"https://www.meetup.com/rladies-resistencia-corrientes/",2018-06-08,11,0
"86","R-Ladies Montevideo","Montevideo","Uruguay","Latin America",379,"https://www.meetup.com/rladies-montevideo/",2017-06-02,14,0
"87","R-Ladies Santa Rosa","Santa Rosa","Argentina","Latin America",137,"https://www.meetup.com/rladies-santa-rosa/",2017-04-06,17,0
"88","R-Ladies Ames","Ames","USA","US/Canada",237,"https://www.meetup.com/rladies-ames/",2016-11-25,79,0
"89","R-Ladies Irvine","Irvine","USA","US/Canada",462,"https://www.meetup.com/rladies-irvine/",2018-03-13,20,0
"90","R-Ladies Boston","Boston","USA","US/Canada",955,"https://www.meetup.com/rladies-boston/",2016-09-16,42,0
"91","R-Ladies Vancouver","Vancouver","Canada","US/Canada",523,"https://www.meetup.com/rladies-vancouver/",2017-10-06,29,0
"92","R-Ladies Niš","Niš","Serbia","Europe",12,"https://www.meetup.com/rladies-nis/",2020-02-22,0,0
